date,cellvalue,n_cells,pct_cells
2020-01-01,3,7715,0.14966052376333658
2020-01-01,5,104,0.002017458777885548
2020-01-01,7,399,0.007740058195926285
2020-01-01,8,5,9.699321047526673e-5
2020-01-01,9,60,0.0011639185257032007
2020-01-01,11,9343,0.1812415130940834
2020-01-01,13,992,0.01924345295829292
2020-01-01,14,2,3.879728419010669e-5
2020-01-01,15,5141,0.09972841901066926
2020-01-01,17,411,0.007972841901066926
2020-01-01,20,62,0.0012027158098933074
2020-01-01,21,3746,0.07266731328806983
2020-01-01,23,4,7.759456838021338e-5
2020-01-01,27,8,1.5518913676042676e-4
2020-01-01,NA,23558,0.45699321047526675
2020-01-09,3,5987,0.11613967022308438
2020-01-09,5,18,3.491755577109602e-4
2020-01-09,7,374,0.007255092143549952
2020-01-09,9,67,0.0012997090203685743
2020-01-09,11,11222,0.21769156159068864
2020-01-09,13,1386,0.02688651794374394
2020-01-09,15,5252,0.10188166828322018
2020-01-09,17,195,0.0037827352085354027
2020-01-09,20,408,0.007914645974781765
2020-01-09,21,8316,0.16131910766246363
2020-01-09,23,6,1.1639185257032008e-4
2020-01-09,27,8,1.5518913676042676e-4
2020-01-09,NA,18311,0.35520853540252184
2020-01-17,3,7183,0.13934044616876817
2020-01-17,5,8,1.5518913676042676e-4
2020-01-17,7,56,0.0010863239573229873
2020-01-17,9,85,0.0016488845780795345
2020-01-17,11,11484,0.22277400581959264
2020-01-17,13,115,0.0022308438409311348
2020-01-17,15,5024,0.097458777885548
2020-01-17,17,45,8.729388942774006e-4
2020-01-17,20,82,0.0015906886517943744
2020-01-17,21,5445,0.10562560620756548
2020-01-17,23,6,1.1639185257032008e-4
2020-01-17,27,4,7.759456838021338e-5
2020-01-17,NA,22013,0.4270223084384093
2020-01-25,3,11462,0.22234723569350145
2020-01-25,5,33,6.401551891367604e-4
2020-01-25,7,49,9.50533462657614e-4
2020-01-25,9,269,0.00521823472356935
2020-01-25,11,10197,0.19780795344325897
2020-01-25,13,941,0.0182541222114452
2020-01-25,15,10567,0.20498545101842872
2020-01-25,17,200,0.0038797284190106693
2020-01-25,20,256,0.004966052376333656
2020-01-25,21,4341,0.08420950533462658
2020-01-25,23,7,0.00013579049466537341
2020-01-25,27,7,0.00013579049466537341
2020-01-25,NA,13221,0.2564694471387003
2020-02-02,3,8878,0.1722211445198836
2020-02-02,5,5,9.699321047526673e-5
2020-02-02,7,29,5.62560620756547e-4
2020-02-02,9,107,0.002075654704170708
2020-02-02,11,5827,0.11303588748787585
2020-02-02,13,903,0.017516973811833172
2020-02-02,15,7606,0.14754607177497575
2020-02-02,17,145,0.002812803103782735
2020-02-02,20,117,0.0022696411251212417
2020-02-02,21,3651,0.07082444228903977
2020-02-02,23,5,9.699321047526673e-5
2020-02-02,27,24,4.655674102812803e-4
2020-02-02,NA,24253,0.47047526673132883
2020-02-10,3,7274,0.14110572259941803
2020-02-10,5,25,4.8496605237633366e-4
2020-02-10,7,76,0.0014742967992240543
2020-02-10,8,2,3.879728419010669e-5
2020-02-10,9,97,0.0018816682832201745
2020-02-10,11,10589,0.20541222114451987
2020-02-10,13,642,0.012453928225024249
2020-02-10,15,8737,0.16948593598448108
