date,cellvalue,n_cells,pct_cells
2012-01-15,3,206,0.01992648481331012
2012-01-15,7,172,0.016637647514025924
2012-01-15,11,3326,0.3217256722770362
2012-01-15,15,2097,0.2028438769587928
2012-01-15,17,2,1.934610176049526e-4
2012-01-15,21,4509,0.4361578641903656
2012-01-15,NA,26,0.0025149932288643837
2012-02-15,3,355,0.03433933062487909
2012-02-15,11,4076,0.3942735538788934
2012-02-15,15,1928,0.1864964209711743
2012-02-15,21,3832,0.3706713097310892
2012-02-15,NA,147,0.014219384793964016
2012-03-15,3,113,0.010930547494679822
2012-03-15,11,3462,0.334881021474173
2012-03-15,13,4,3.869220352099052e-4
2012-03-15,15,2814,0.2721996517701683
2012-03-15,17,7,6.771135616173341e-4
2012-03-15,21,3479,0.3365254401238151
2012-03-15,NA,459,0.044399303540336624
2012-04-15,3,2,1.934610176049526e-4
2012-04-15,7,1,9.67305088024763e-5
2012-04-15,11,3323,0.3214354807506287
2012-04-15,15,3177,0.3073128264654672
2012-04-15,21,3835,0.3709615012574966
2012-04-15,NA,0,0
2012-05-15,3,285,0.027568195008705745
2012-05-15,7,79,0.007641710195395628
2012-05-15,11,4443,0.4297736506094022
2012-05-15,13,1,9.67305088024763e-5
2012-05-15,15,564,0.054556006964596636
2012-05-15,21,4184,0.4047204488295608
2012-05-15,NA,782,0.07564325788353647
2012-06-15,3,11,0.0010640355968272394
2012-06-15,7,1011,0.09779454439930355
2012-06-15,11,6274,0.6068872122267364
2012-06-15,15,131,0.012671696653124396
2012-06-15,21,2168,0.2097117430837686
2012-06-15,NA,743,0.0718707680402399
2012-07-15,3,344,0.03327529502805185
2012-07-15,7,1751,0.169375120913136
2012-07-15,11,2640,0.2553685432385374
2012-07-15,14,1,9.67305088024763e-5
2012-07-15,15,413,0.03994970013542271
2012-07-15,17,2,1.934610176049526e-4
2012-07-15,21,2398,0.23195976010833816
2012-07-15,NA,2789,0.2697813890501064
2012-08-15,3,64,0.006190752563358483
2012-08-15,7,2481,0.2399883923389437
2012-08-15,11,38,0.0036757593344940993
2012-08-15,13,10,9.67305088024763e-4
2012-08-15,14,10,9.67305088024763e-4
2012-08-15,15,1105,0.10688721222673632
2012-08-15,17,9,8.705745792222867e-4
2012-08-15,21,1209,0.11694718514219385
2012-08-15,27,1,9.67305088024763e-5
2012-08-15,NA,5411,0.5234087831301992
2012-09-15,3,106,0.010253433933062488
2012-09-15,7,2340,0.22634939059779455
2012-09-15,11,12,0.0011607661056297156
2012-09-15,13,22,0.0021280711936544788
2012-09-15,14,11,0.0010640355968272394
2012-09-15,15,1213,0.11733410717740375
2012-09-15,17,4,3.869220352099052e-4
2012-09-15,21,1637,0.1583478429096537
2012-09-15,NA,4993,0.4829754304507642
2012-10-15,3,384,0.0371445153801509
2012-10-15,7,2894,0.2799380924743664
2012-10-15,11,91,0.008802476301025344
2012-10-15,13,2,1.934610176049526e-4
2012-10-15,14,15,0.0014509576320371445
2012-10-15,15,16,0.0015476881408396208
2012-10-15,17,3,2.901915264074289e-4
2012-10-15,21,1603,0.1550590056103695
2012-10-15,NA,5330,0.5155736119171986
2012-11-15,3,1047,0.10127684271619268
2012-11-15,7,1610,0.15573611917198685
2012-11-15,11,1718,0.1661830141226543
2012-11-15,13,4,3.869220352099052e-4
2012-11-15,14,16,0.0015476881408396208
2012-11-15,15,86,0.008318823757012962
2012-11-15,17,2,1.934610176049526e-4
2012-11-15,21,2263,0.21890114142000386
2012-11-15,NA,3592,0.3474559876184949
2012-12-15,3,725,0.07012961888179532
2012-12-15,7,1600,0.1547688140839621
2012-12-15,11,1425,0.13784097504352874
